bulgarian,english,pronunciation
Едно,One,ed-no
Две,Two,dve
Три,Three,tree
Четири,Four,che-tee-ree
Пет,Five,pet
Шест,Six,shest
Седем,Seven,se-dem
Осем,Eight,o-sem
Девет,Nine,de-vet
Десет,Ten,de-set
Двадесет,Twenty,dva-de-set
Тридесет,Thirty,tree-de-set
Петнадесет,Fifteen,pet-na-de-set
Двадесет и пет,Twenty-five,dva-de-set ee pet
Тридесет и пет,Thirty-five,tree-de-set ee pet
Сто,One hundred,sto
Хиляда,One thousand,hee-ya-da
Половина,Half,po-lo-vee-na
Първи,First,pur-vee
Втори,Second,vto-ree
Трети,Third,tre-tee
Четвърти,Fourth,chet-vur-tee
Петти,Fifth,pet-tee
