bulgarian,english,pronunciation
Колко е часът?,What time is it?,kol-ko e cha-sut
Часът е,It is,cha-sut e
на час,o'clock,na chas
минута,minute,mi-nu-ta
минути,minutes,mi-nu-tee
час,hour,chas
една минута,one minute,ed-na mi-nu-ta
пет минути,five minutes,pet mi-nu-tee
десет минути,ten minutes,de-set mi-nu-tee
петнадесет минути,fifteen minutes,pet-na-de-set mi-nu-tee
тридесет минути,thirty minutes,tree-de-set mi-nu-tee
преди,before,pre-dee
след,after,sled
половина,half,po-lo-vee-na
Сега е,It is now,se-ga e
Вчера,Yesterday,vche-ra
Утре,Tomorrow,oo-tre
сутрин,morning,sut-rin
обед,afternoon,o-bet
вечер,evening,ve-cher
нощ,night,nosht
дванадесет часа,12 o'clock,dva-na-des-et cha-sut
една и петнадесет минути,one fifteen,ed-na i pet-na-de-set mi-nu-tee
три и тридесет минути,three thirty,tree i tree-de-set mi-nu-tee
пет и четиридесет и пет минути,five forty-five,pet i che-tee-ree-de-set mi-nu-tee
седем часа,seven o'clock,sed-em cha-sut
