bulgarian,english,pronunciation
"Здравей, казвам се...","Hello, my name is...","zdrav-ey, kaz-vam se..."
Аз съм от...,I am from...,az sam ot...
Приятно ми е да се запознаем.,Nice to meet you.,pri-yat-no mee eh da se za-poz-na-em
На колко години сте?,How old are you?,na kol-ko go-dee-nee ste?
На ... години съм.,I am ... years old.,na ... go-dee-nee sam.
Какво работите?,What do you do for a living?fo,kak-vo ra-bo-ti-te?
Какво работиш?,What do you do for a living?in,kak-vo ra-bo-tish?
Работя като...,I work as...,ra-bo-tya ka-to...
Аз съм студент.,I am a student.,az sam stu-dent.
Къде живеете?,Where do you live?fo,ka-deh zhi-veh-eh-te?
Къде живееш?,Where do you live?in,ka-deh zhi-veh-esh?
Живея в...,I live in...,zhi-veh-ya v...
Какви са твоите хобита?,What are your hobbies?in,kak-vee sa tvo-ye-te ho-bi-ta?
Какви са вашите хобита?,What are your hobbies?fo,kak-vee sa va-shee-te ho-bi-ta?
Обичам да...,I love to...,o-bee-cham da...
