bulgarian,english,pronunciation
Здравей,Hello,zdrav-ey
Здрасти,Hi,zdras-tee
Добро утро,Good morning,doh-bro oo-tro
Добър ден,Good day,doh-bur den
Добър вечер,Good evening,doh-bur ve-cher
Лека нощ,Good night,leh-ka nosht
Как си?,How are you?,kahk see
Как сте?,How are you?,kahk ste
Приятно ми е,Nice to meet you,pree-yat-no mee eh
Довиждане,Goodbye,doh-veezh-da-neh
Чао,Bye,chao
До скоро,See you soon,doh sko-ro
Благодаря,Thank you,blah-go-da-rya
Съжалявам,I am sorry,sŭ-zha-lya-vam
Извинявай,I am sorry in,iz-vi-nyavai
Извинете,I am sorry fo,iz-vi-ne-te
Моля,You are welcome,mo-lya
Няма проблем,No problem,nya-ma pro-blem
Добре съм. Благодаря. А ти?,I am fine. Thank you. How about you? (informal),do-bre sŭm. bla-go-da-rya. a ti?
Добре съм. Благодаря. А Вие?,I am fine. Thank you. How about you? (formal),do-bre sŭm. bla-go-da-rya. a vie?
